Institución Padre,Dirección,Comuna,Región,Coordenadas Geográficas,Rubro de gasto,Periodo,Gasto
I MUNICIPALIDAD DE LOS ANGELES,,Los Angeles,Región del Biobío ,"-37.47112635,-72.35064063866517",ADQUISICION DE PAPEL IMPRESIÓN CARTA Y OFICIO PARA ALUMNOS PIE ESCUELA F-887 ISLA DEL LAJA.,Marzo/2024,376992
I MUNICIPALIDAD DE LOS ANGELES,CAUPOLICAN 399,Los Angeles,Región del Biobío ,"-37.47112635,-72.35064063866517",PAPEL PARA IMPRESIÓN DE MATERIAL PEDAGÓGICO LICEO COMERCIAL B-64,Marzo/2024,4649092
I MUNICIPALIDAD VALDIVIA,,Valdivia,Región de Los Ríos,"-39.812843099999995,-73.24694851875219","5, SP. 94454- SEP – LICEO TECNICO – ADQUISICIÓN RESMAS DE PAPEL Orden de Compra generada por invitación a compra ágil: 2280-152-COT24",Marzo/2024,931175
ILUSTRE MUNICIPALIDAD DE QUINTA NORMAL,"Av. Carrascal 4447, Quinta Normal",Quinta Normal,Región Metropolitana de Santiago,"-33.4220771,-70.6938233",SP 040. ESCUELA REINO DE NORUEGA: ADQUISICIÓN DE RESMAS DE PAPEL - CTA. BANCARIA N° 9583262 SEP. O/C INT. 040,Marzo/2024,1701462
UNIVERSIDAD DE CHILE,Pío Nono 140,Recoleta,Región Metropolitana de Santiago,"-33.443867,-70.6506654",46794 - ADQUISICIÓN RESMAS PAPEL FOTOCOPIA CARTA ,Marzo/2024,2342396
I MUNICIPALIDAD DE CUNCO,Pedro Aguirre cerda 600,Cunco,Región de la Araucanía ,"-38.932738549999996,-72.03295800911474",resmas de papel para trabajos  pedagógicos  y otros materiales para Daem y Escuela Las Hortensias ,Marzo/2024,1968629
I MUNICIPALIDAD DE TALCA,DIRECCION COMUNAL DE EDUCACION MUNICIPAL 4 ORIENTE N°	1280 TALCA,Talca,Región del Maule ,"-35.4257615,-71.66543442233423",PAPEL IMPRESION ESCUELA PANGUILEMO EDITA GALLEGOS RODRIGUEZ // SEP // Orden de Compra: 2294-163-CM24,Marzo/2024,1516774
I MUNICIPALIDAD VALDIVIA,,Valdivia,Región de Los Ríos,"-39.812843099999995,-73.24694851875219","7, SP.94813 - SEP - LICEO BICENTENARIO, ADQ. PAPEL EQUALIT CARTA Y OFICIO.",Marzo/2024,1184169
MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF,,Temuco,Región de la Araucanía,"-38.9178577,-72.4511312",OC Compra ágil: 826-1-COT24 / Archivardores Papel Fotocopia,Marzo/2024,699958
UNIVERSIDAD DE CHILE,Avenida Santos Dumont N° 999				,Independencia,Región Metropolitana de Santiago,"-33.443867,-70.6506654",CML_RESMAS PAPEL OFICIO_ 5153-649-CM24,Marzo/2024,2165800
UNIVERSIDAD DE CHILE,Avda. Blanco Encalada 2002,Santiago,Región Metropolitana de Santiago,"-33.443867,-70.6506654",Resmas de papel ,Marzo/2024,843412
I MUNICIPALIDAD DE CHILLAN,,Chillán,Región del Ñuble,"-36.60600385,-72.10426068496827",PAPEL FOTOCOPIA ,Marzo/2024,153105
I MUNICIPALIDAD DE CUNCO,,Cunco,Región de la Araucanía ,"-38.932738549999996,-72.03295800911474",RESMA DE PAPEL PARA ELECTROCARDIOGAFOS.,Marzo/2024,261800
I MUNICIPALIDAD DE LA UNION,,La Unión,Región de Los Ríos,"-40.2947882,-73.0829831009254",ADQUISICIÓN RESMAS DE PAPEL CARTA Y OFICIO PARA ESCUELA RURAL MASHUE ORD. N° 06  LEY S.E.P. Orden de Compra codigo: 3335-150-AG24 .Orden de Compra generada por invitación a compra ágil: 3335-87-COT24.,Marzo/2024,305378
I MUNICIPALIDAD DE RIO NEGRO,,Río Negro,Región de los Lagos ,"-40.7959475,-73.2170768",Resmas de papel para Escuela Río Negro.,Marzo/2024,1320900
I MUNICIPALIDAD DE TOME,,Tomé,Región del Biobío ,"-36.617159,-72.958481","Adquisición de resmas papel fotocopia tamaño oficio para el Liceo Vicente Palacios, Tomé. Orden de Compra generada por invitación a compra ágil: 2665-117-COT24",Marzo/2024,80611
I MUNICIPALIDAD DE LOS ALAMOS DEPTO COMUNAL,Luis Saez Mora 509,Los Alamos,Región del Biobío ,"-37.6232527,-73.4611958","TINTAS, TONER Y PAPEL FOTOCOPIA ",Marzo/2024,4207245
I MUNICIPALIDAD DE MOSTAZAL,Plaza de Armas   S/N,Mostazal,Región del Libertador General Bernardo O´Higgins,"-33.98006625,-70.71155859430769",PAPEL IMPRESIÓN OFICIO Y CARTA PARA OFICINAS MUNICIPALES,Marzo/2024,6336750
I MUNICIPALIDAD DE OSORNO,"AVDA. JUAN MACKENNA N°851, Bodega Subsuelo",Osorno,Región de los Lagos ,"-40.5746591,-73.1358139","Adquisición resmas de papel ""Liceo B.C.C. de Prat"", Fondos SEP, según Licitación N°2306-8-LR23.",Marzo/2024,5601925
Ilustre Municipalidad de El Carmen,,El Carmen,Región del Ñuble,"-36.8971258,-72.0269144",PAPEL MULTIPROPÓSITO EQUALIT CARTA Y OFICIO PARA ESCUELA VIRGEN DEL CARMEN REQ. N°960219-2(147),Marzo/2024,1329528
ILUSTRE MUNICIPALIDAD DE QUINTA NORMAL,,Quinta Normal,Región Metropolitana de Santiago,"-33.4220771,-70.6938233", SP 046. DEM NIVEL CENTRAL: ADQUISICIÓN DE RESMAS DE PAPEL Y ARCHIVADORES. CTA. BANCARIA N° 9583173 DEM. O/C INT. 046,Marzo/2024,497587
CORP ADMINISTRATIVA DEL PODER JUDICIAL,"Ureta Cox 855, Piso 2",San Miguel,Región Metropolitana de Santiago,"-33.50022,-70.6247753",Primera compra trimestral de artículos de oficina: Papel tamaño Oficio y Carta,Abril/2024,43607550
FUERZA AEREA DE CHILE COMANDO LOGISTICO,Av. Pedro Aguirre Cerda # 5.500,Cerrillos,Región Metropolitana de Santiago,"-33.49138405,-70.7010048713825",018_8760_PAPEL FOTOCOPIA,Abril/2024,995007
I MUNICIPALIDAD DE LA REINA,Av. Fernando Castillo Velasco N°9925,La Reina,Región Metropolitana de Santiago,"-33.4532324,-70.53050761103353",RESMAS PAPEL MULTIUSO,Abril/2024,3465756
I MUNICIPALIDAD DE LAGO RANCO,calle Puerto Varas N°102,Lago Ranco,Región de Los Ríos,"-40.32062645,-72.48012016715423","COMPRA RESMAS DE PAPEL, C.E.I",Abril/2024,185640
SERVICIO DE SALUD OCCIDENTE HOSPITAL SAN JUAN DE DIOS,HUERFANOS 3255 ,Santiago,Región Metropolitana de Santiago,"0,0",amv/ PAPEL FOTOCOPIA OFICIO PAQUETE 500 HOJAS Orden de Compra: 1641-4937-CM24,Abril/2024,1032622
UNIVERSIDAD DE PLAYA ANCHA DE CIENCIAS DE LA EDUCACION,GRAN BRETAÑA Nº 40 PLAYA ANCHA,Valparaíso,Región de Valparaíso ,"-33.0300017,-71.6340727",SC 33674 (CPV) PAPEL DE IMPRESIÓN PROYECTO UPA 21991 VINC.CON EL MEDIO,Abril/2024,955094
FONDO NACIONAL DE SALUD,Monjitas 665,Santiago,Región Metropolitana de Santiago,"-34.9848391,-71.2385286",Papel Impresión Resma Hoja Tamaño Carta Color Blanco 500 Hojas Unidad-MNN.,Abril/2024,3015270
Hospital Santa Juana,,Santa Juana,Región del Biobío ,"38.995285,-1.8664506","Papel impresión carta, oficio",Abril/2024,745238
I MUNICIPALIDAD DE LEBU,,Lebu,Región del Biobío ,"-37.6109586,-73.6561279",RESMAS DE PAPEL MULTIPROPOSITO PARA BODEGA DAEM: 3892-75-COT24,Abril/2024,294025
I MUNICIPALIDAD DE LEBU,RIOSECO 550,Lebu,Región del Biobío ,"-37.6109586,-73.6561279",Papel Fotocopía Liceo Fresia Müller Ruiz,Abril/2024,3050446
I MUNICIPALIDAD DE LLANQUIHUE,,Llanquihue,Región de los Lagos ,"-41.2565319,-73.0056137","ADQUISICIÓN DE PAPELERÍA DE OFICIO Y CARTA PARA LAS OFICINAS MUNICIPALES, SOLICITADO POR LA UNIDAD DE ADQUISICIONES. Orden de Compra generada por invitación a compra ágil: 1437-400-COT24",Abril/2024,1050175
I MUNICIPALIDAD DE LOS ALAMOS DEPTO COMUNAL,Luis Saez Mora 509,Los Alamos,Región del Biobío ,"-37.6232527,-73.4611958",PAPEL FOTOCOPIA,Abril/2024,1801898
I MUNICIPALIDAD DE LOS ANGELES,CAUPOLICAN 399,Los Angeles,Región del Biobío ,"-37.47112635,-72.35064063866517",PAPEL MULTIPROPÓSITO Y DE IMPRESIÓN PARA USO EN LICEO TECNICO BICENTENARIO ,Abril/2024,3315816
I MUNICIPALIDAD DE LOS LAGOS,San Martin  1,Los Lagos,Región de Los Ríos,"-39.86322795,-72.81662579578243",Adquisición de resmas de papel - Escuela Nva Collilelfu,Abril/2024,3530016
SUPERINTENDENCIA DE SERVICIOS SANITARIOS,,Santiago,Región Metropolitana de Santiago,"-33.4413131,-70.6460621",Resma papel multipropósito para OR Maule/ CBS-5775-2024,Abril/2024,178381
UNIVERSIDAD DE CHILE,,Independencia,Región Metropolitana de Santiago,"-33.443867,-70.6506654",JS PAPEL IMPRESION SONY Orden de Compra generada por invitación a compra ágil: 800-3890-COT24,Abril/2024,1914710
UNIVERSIDAD DE LA FRONTERA,,Temuco,Región de la Araucanía ,"-38.748060499999994,-72.61829051629903",P/A Tintas originales HP y papel tamaño carta compra ágil: 5586-844-COT24,Abril/2024,561061
I MUNICIPALIDAD DE PADRE LAS CASAS,Ramberga 760 ,Padre Las Casas,Región de la Araucanía ,"-38.77338615,-72.59711090989668",ADQ. RESMAS PAPEL TAMAÑO OFICIO Y CARTA PARA CENTROS DE SALUD DE LA COMUNA DE PADRE LAS CASAS. SEGÚN OC 2548-332-CM,Abril/2024,6307000
I MUNICIPALIDAD DE TUCAPEL,,Tucapel,Región del Biobío ,"-37.24030085,-71.94019864386175",ADQUISICIÓN ROLLO PAPEL IMPRESIÓN PLANOS PROYECTOS SECPLAN,Abril/2024,201634
I MUNICIPALIDAD DE VICUNA,,Vicuña,Región de Coquimbo ,"-30.0335973,-70.7135638",ADQUISICIÓN DE RESMAS PAPEL PARA ESC JOAQUÍN VICUÑA LARRAÍN.,Abril/2024,529407
ILUSTRE MUNICIPALIDAD DE COLBUN,CALLE ADOLFO NOVOA 419,Colbún,Región del Maule ,"-35.6969121,-71.4017404",PAPEL FOTOCOPIA PARA EL LICEO CAPITÁN I.C.P DE COLBÚN ,Abril/2024,1949101
Ilustre Municipalidad de Yerbas Buenas,,Yerbas Buenas,Región del Maule ,"-35.7477097,-71.5828535",RESMAS DE PAPEL PARA EL LICEO JUAN DE DIOS PUGA,Abril/2024,1198330
SERVICIO DE SALUD OCCIDENTE HOSPITAL SAN JUAN DE DIOS,HUERFANOS 3255 ,Santiago,Región Metropolitana de Santiago,"0,0",amv/ PAPEL FOTOCOPIA CARTA PAQUETE 500 HOJAS Orden de Compra: 1641-5268-CM24,Abril/2024,1487500
SUBSECRETARIA DE SERVICIOS SOCIALES,"Aníbal Pinto 442, piso 3",Concepción,Región del Biobío ,"-36.826653013935214, -73.04943759002248",Compra de 170 resmas papel oficio multipropósito para uso en oficinas Seremi.,Abril/2024,657475
I MUNICIPALIDAD DE CANETE,,Cañete,Región del Biobío ,"-37.79972,-73.3991188","ADQUISICIÓN DE RESMAS DE PAPEL PARA ESCUELA F-839, ORD N° 60, FONDOS SEP 90%",Mayo/2024,412195
I MUNICIPALIDAD DE CORONEL,,Coronel,Región del Biobío ,"-37.0294737,-73.14622918699935",D-673 COMPRA DE PAPEL FOTOCOPIADORA ,Mayo/2024,1864043
I MUNICIPALIDAD DE LA CISTERNA,,La Cisterna,Región Metropolitana de Santiago,"-33.53472265,-70.66443006783722","Papel carta, oficio LCyT. Orden de Compra generada por invitación a compra ágil: 2769-61-COT24",Mayo/2024,1889006
I MUNICIPALIDAD DE LA CISTERNA,,La Cisterna,Región Metropolitana de Santiago,"-33.53472265,-70.66443006783722",Papel de impresión colores y fotografico colegio E. JOVEN a compra ágil: 2769-71-COT24,Mayo/2024,409955
I MUNICIPALIDAD DE LEBU,,Lebu,Región del Biobío ,"-37.6109586,-73.6561279",PAPEL FOTOCOPIA PARA ESC. D-777: 3892-129-COT24,Mayo/2024,290836
I MUNICIPALIDAD DE LOS ALAMOS DEPTO COMUNAL,Luis Saez Mora 509,Los Alamos,Región del Biobío ,"-37.6266115,-73.4609456",PAPEL FOTOCOPIA Y TINTAS ,Mayo/2024,866082
I MUNICIPALIDAD DE LOS ANGELES,CAUPOLICAN 399,Los Angeles,Región del Biobío ,"-37.47112635,-72.35064063866517",PAPEL PARA IMPRESIÓN DEL LICEO SANTA FE ,Mayo/2024,4500000
I MUNICIPALIDAD DE TIRUA,,Tirúa,Región del Biobío ,"-38.3442095,-73.4934201",Adq.Resma Papel para DAEM fondo TrasMun2024,Mayo/2024,218127
I MUNICIPALIDAD VALDIVIA,,Valdivia,Región de Los Ríos,"-39.812843099999995,-73.24694851875219","7, SP.20963 - PIE - ESCUELA ESPAÑA, ADQ. RESMA PAPEL EQUALIT CARTA Y OFICIO.",Mayo/2024,1016141
Ilustre Municipalidad de El Carmen,BAQUEDANO 385,El Carmen,Región del Ñuble,"-36.8971258,-72.0269144",PAPEL DE IMPRESIÓN PARA LICEO BICENTENARIO DE EXCELENCIA POLIVALENTE JUVENAL HERNÁNDEZ JAQUE REQ. N° 960201-53<297>,Mayo/2024,1376592
Ilustre Municipalidad de Yerbas Buenas,Avda. Centenario 101,Yerbas Buenas,Región del Maule ,"-35.7477097,-71.5828535",RESMAS DE PAPEL PARA ESCUELA MAITENCILLO,Mayo/2024,516460
MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF,,Talca,Región del Maule ,"0,0",Adquisición Papel Fotocopia para la DOH Región del Maule,Mayo/2024,281887
I MUNICIPALIDAD DE CURACAUTIN,Arturo Prat 336,Curacautín,Región de la Araucanía ,"-38.4380565,-71.8879024",RESMAS PAPEL ESCUELA PATRICIO CHÁVEZ SOTO,Mayo/2024,2597056
I MUNICIPALIDAD DE LAGO RANCO,Concepción Nº655,Lago Ranco,Región de Los Ríos,"-40.32062645,-72.48012016715423",ADQUISICION RESMA PAPEL,Mayo/2024,1834230
I MUNICIPALIDAD DE MULCHEN,PEDRO LAGOS Nº 200,Mulchén,Región del Biobío ,"-37.718427,-72.2457477",Papel Impresión,Mayo/2024,749343
I MUNICIPALIDAD DE NACIMIENTO,SANTA MARGARITA Nº 695 - NACIMIENTO,Nacimiento,Región del Biobío ,"-37.5021632,-72.67436659653994",SEP 2024.Adquirir papel fotocopia para EScuela Toqui Lautaro.,Mayo/2024,2075955
I MUNICIPALIDAD DE PADRE LAS CASAS,Ramberga 760 ,Padre Las Casas,Región de la Araucanía ,"-38.77338615,-72.59711090989668",ADQ. DE PAPEL DE IMPRESIÓN PARA EL DAEM,Mayo/2024,656844
I MUNICIPALIDAD DE PALMILLA,,Palmilla,Región del Libertador General Bernardo O´Higgins,"-34.59772815,-71.36362340411176",ADQUISICION DE RESMAS PAPEL A4 HOJA BLANCA,Mayo/2024,453390
I MUNICIPALIDAD DE PIRQUE,AVDA. CONCHA Y TORO  02548,Pirque,Región Metropolitana de Santiago,"-33.6347039,-70.5728392",RESMAS PAPEL CARTA Y OFICIO,Mayo/2024,1919303
ILUSTRE MUNICIPALIDAD DE COLBUN,CALLE ADOLFO NOVOA 419,Colbún,Región del Maule ,"-35.6969121,-71.4017404",PAPEL FOTOCOPIA PARA LA ESCUELA SAN DIONISIO Y PARA EL DEPARTAMENTO DE EDUCACIÓN,Mayo/2024,1387278
UNIVERSIDAD DE TARAPACA,Sin dirección Registrada para Unidad de Compra,Arica,Región de Arica y Parinacota,"-18.4901565,-70.2961677979052","Papel de Fotocopia Tamaño Carta, para la Decanatura Fac. de Ing. ",Mayo/2024,94200
I MUNICIPALIDAD DE CATEMU,,Catemu,Región de Valparaíso ,"-32.7787138,-70.9630788",RESMAS DE PAPEL compra ágil: 4283-30-COT24,Mayo/2024,863131
I MUNICIPALIDAD DE CURICO,,Curicó,Región del Maule ,"-34.98554105,-71.23854218545901",82830 RESMAS DE PAPEL TAMAÑO CARTA Y OFICIO LICEO ZAPALLAR DE CURICÓ por invitación a compra ágil: 2440-712-COT24,Mayo/2024,693889
I MUNICIPALIDAD DE LAGO RANCO,calle Puerto Varas N°102,Lago Ranco,Región de Los Ríos,"-40.32062645,-72.48012016715423","COMPRA RESMAS PAPEL, ESC. RURAL RIÑINAHUE",Mayo/2024,180356
I MUNICIPALIDAD DE LINARES,,Linares,Región del Maule ,"-35.5953791,-71.73159",COMPRA DE RESMAS DE PAPEL TAMAÑO CARTA Y OFICIO PARA ESC.F-482 PEDRO AGUIRRE CERDA,Mayo/2024,492362
I MUNICIPALIDAD DE LOS ALAMOS DEPTO COMUNAL,Luis Saez Mora 509,Los Alamos,Región del Biobío ,"-37.6232527,-73.4611958",PAPEL FOTOCOPIA Y TINTAS ,Mayo/2024,1111162
I MUNICIPALIDAD DE TALCA,DIRECCION COMUNAL DE EDUCACION MUNICIPAL 4 ORIENTE N°	1280 TALCA,Talca,Región del Maule ,"-35.4257615,-71.66543442233423",PAPEL IMPRESION ESCUELA CARLOS SPANO // SEP // Orden de Compra: 2294-597-CM24,Mayo/2024,1311380
I MUNICIPALIDAD DE TUCAPEL,,Tucapel,Región del Biobío ,"-37.24030085,-71.94019864386175",Orden de Compra ágil: 3305-293-COT24 papel fotocopia y tintas,Mayo/2024,1132880
MUNICIPALIDAD DE LOS ANDES,Avda. Chile 198,Los Andes,Región de Valparaíso ,"-38.932738549999996,-72.03295800911474",RESMAS PAPEL ,Mayo/2024,1298052
I MUNICIPALIDAD DE LOS ANGELES,CAUPOLICAN 399,Los Angeles,Región del Biobío ,"-37.47112635,-72.35064063866517",ADQUISICION DE PAPEL CARTA Y OFICIO PARA ALUMNOS ESCUELA F-944 DIEGO PORTALES PALAZUELOS.,Mayo/2024,5419260
I MUNICIPALIDAD DE NACIMIENTO,SANTA MARGARITA Nº 695 - NACIMIENTO,Nacimiento,Región del Biobío ,"-37.5021632,-72.67436659653994",SEP 2024. Resmas de papel Escuela Canada y Oscar Guerrero,Mayo/2024,5018528
I MUNICIPALIDAD DE PENALOLEN,Avenida Grecia   Nº 8735  Región Metropolitana.,Peñalolén,Región Metropolitana de Santiago,"-33.4768306,-70.54176702562827",Adquisición de papel carta y oficio,Mayo/2024,13487460
UNIVERSIDAD DE TARAPACA,Avda Gral Velasquez 1775,Arica,Región de Arica y Parinacota,"-18.4901565,-70.2961677979052",Compra de papel fotocopia para ESUN/FAE,Mayo/2024,121600
I MUNICIPALIDAD DE CHILLAN,,Chillán,Región del Ñuble,"-36.60600385,-72.10426068496827",RESMAS DE PAPEL FOTOCOPIA TAMAÑO OFICIO-COSAM-Orden de Compra generada por invitación a compra ágil: 1069417-375-COT24,Mayo/2024,918978
I MUNICIPALIDAD VALDIVIA,,Valdivia,Región de Los Ríos,"-39.812843099999995,-73.24694851875219"," 2 SP 95943, SEP, ESCUELA EL BOSQUE, ADQUISICIÓN PAPEL PARA IMPRESION Orden de Compra generada por invitación a compra ágil: 2280-664-COT24",Mayo/2024,460292
I MUNICIPALIDAD VALDIVIA,,Valdivia,Región de Los Ríos,"-39.812843099999995,-73.24694851875219","1, SP.95947, SEP, ESCUELA FRANCIA, ADQ. RESMAS PAPEL FOTOCOPIA TAMAÑO CARTA Y OFICIO.    Orden de Compra generada por invitación a compra ágil: 2280-676-COT24",Mayo/2024,1003616
UNIVERSIDAD DE CHILE,,Independencia,Región Metropolitana de Santiago,"-33.443867,-70.6506654",CML_REF-920 PAPEL PARA IMPRESORA AUTOCLAVE_5153-769-COT24,Mayo/2024,263942
Cámara de Diputados de Chile,Av. Argentina esq. Pedro Montt s/n° . Edif. Congreso Nacional,Valparaíso,Región de Valparaíso ,"-33.0478095,-71.60494215739004",REPOSICION DE STOCK PAPEL FOTOCOPIA,Junio/2024,3345090
CORP ADMINISTRATIVA DEL PODER JUDICIAL,,San Miguel,Región Metropolitana de Santiago,"0,0",Papel oficio multipropósito-compra ágil: 730377-12-COT24,Junio/2024,551565
DIRECCION DE ABASTECIMIENTO DE LA ARMADA,"Francisco González de Hontaneda #11, Playa ancha",Valparaíso,Región de Valparaíso ,"0,0",PAPEL DE IMPRESIÓN OFICIO Y CARTA: 2950-397-CM24,Junio/2024,1342201
I MUNICIPALIDAD DE COBQUECURA,CHACABUCO 315,Cobquecura,Región del Ñuble,"-36.1316875,-72.7925312",RESMAS DE PAPEL LICEO P. DIEGO MISSENE BURGOS.,Junio/2024,749462
I MUNICIPALIDAD DE CONCON,,Concón,Región de Valparaíso ,"-32.9207636,-71.5155884",RESMAS DE PAPEL JUZGADO POLICIA LOCAL Orden de Compra generada por invitación a compra ágil: 2594-476-COT24,Junio/2024,355810
I MUNICIPALIDAD DE JUAN FERNANDEZ,,Juan Fernández,Región de Valparaíso ,"-33.6360327,-78.8318862",Papel para impresión ,Junio/2024,742322
I MUNICIPALIDAD DE LA CISTERNA,Gran  Avenida José Miguel Carrera  Nº 8585,La Cisterna,Región Metropolitana de Santiago,"-33.53472265,-70.66443006783722",RESMAS DE PAPEL MAYO,Junio/2024,1490880
I MUNICIPALIDAD DE LA UNION,,La Unión,Región de Los Ríos,"-40.2947882,-73.0829831009254",Orden de Compra generada por invitación a compra ágil: 3335-526-COT24 ADQUISICIÓN CALCULADORAS CIENTÍFICAS Y RESMAS DE PAPEL OFICIO Y CARTA PARA ESCUELA RURAL PILPILCAHUÍN ORD. N°17 FONDOS LEY S.E.P.,Junio/2024,115332
I MUNICIPALIDAD DE LA UNION,,La Unión,Región de Los Ríos,"-40.2947882,-73.0829831009254","ADQUISICIÓN PEGAMENTOS Y RESMAS DE PAPEL FOTOCOPIA TAMAÑO CARTA Y OFICIO PARA ESCUELA RURAL FLOR MARÍA LUISA MUNDACA ORD. N°22 FONDOS LEY S.E.P., PROVENIENTE DE COTIZACIÓN ÁGIL 3335-419-COT24",Junio/2024,106148
I MUNICIPALIDAD DE LA UNION,,La Unión,Región de Los Ríos,"-40.2947882,-73.0829831009254","ADQUISICIÓN RESMAS DE PAPEL FOTOCOPIA TAMAÑO CARTA Y OFICIO PARA ADMINISTRACIÓN CENTRAL D.A.E.M. ORD. N°484 FONDOS LEY 10 % ADM S.E.P., PROVENIENTE DE COTIZACIÓN ÁGIL 3335-530-COT24",Junio/2024,767550
I MUNICIPALIDAD DE LONCOCHE,,Loncoche,Región de la Araucanía ,"-39.371356,-72.6306051","300 RESMAS DE PAPEL TAMAÑO OFICIO Y 150 RESMAS TAMAÑO CARTA,LICEO P.A.H.C",Junio/2024,1575976
I MUNICIPALIDAD DE LOS ALAMOS DEPTO COMUNAL,Luis Saez Mora 509,Los Alamos,Región del Biobío ,"-37.6266115,-73.4609456",PAPEL FOTOCOPIA,Junio/2024,1469055
I MUNICIPALIDAD DE LOS ANGELES,CAUPOLICAN 399,Los Angeles,Región del Biobío ,"-37.47112635,-72.35064063866517",ADQUISICION DE RESMAS DE PAPEL PARA ESCUELA F-933 VIRQUENCO.,Junio/2024,3521091
I MUNICIPALIDAD DE LOTA,"COUSIÑO, 295 LOTA BAJO, LOTA",Lota,Región del Biobío ,"-37.09436645,-73.15542601551155",PAPEL TAMAÑO OFICIO-SOLICITUD N°144,Junio/2024,889525
UNIVERSIDAD DE PLAYA ANCHA DE CIENCIAS DE LA EDUCACION,GRAN BRETAÑA Nº 40 PLAYA ANCHA,Valparaíso,Región de Valparaíso ,"-33.0313962,-71.6336972",SC 34043-34105 (CPV) PAPEL IMPRESIÓN OFICIO Y CARTA PARA DECANATO SALUD VALPARAÍSO Y PEDAGOGÍA INGLÉS CAMPUS SAN FELIPE,Junio/2024,958783
HOSPITAL DR GUSTAVO FRICKE DE VINA DEL MAR,,Viña del Mar,Región de Valparaíso ,"-33.02961019999999,-71.54207970570049",TTV/ PAPEL ECG MAC 1200 210X295MM RESMA EQ. EDAN SE-1200 EXPRESS,Junio/2024,383692
I MUNICIPALIDAD DE MULCHEN,VILLALON 555,Mulchén,Región del Biobío ,"-37.718427,-72.2457477",RESMAS DE PAPEL PARA ESCUELA VILLA LA GRANJA,Junio/2024,1445255
I MUNICIPALIDAD DE PUREN,Urrutia 640,Purén,Región de la Araucanía ,"-38.0322967,-73.0730333",SUBV. SEP-ADQUISICIÓN DE RESMA DE PAPEL CARTA PARA ESC. QUILACO,Junio/2024,49900
I MUNICIPALIDAD DE SAN VICENTE,,San Vicente de Tagua Tagua,Región del Libertador General Bernardo O´Higgins,"-34.4392721,-71.07616568514135","ADQUISICION DE PAPEL FOTOCOPIA TAMAÑO CARTA-OFICIO, PARA STOCK BODEGA UNIDAD DE COMPRA, SEGUN COMPRA AGIL N°: 1050283-301-COT24",Junio/2024,1331848
I MUNICIPALIDAD ESTACION CENTRAL,Av. Libertador Bernardo O'Higgins N°3920,Estación Central,Región Metropolitana de Santiago,"-33.45433035,-70.68969016202331",SC-665 - Secretaria Municipal - Resmas de papel ,Junio/2024,6741350
I MUNICIPALIDAD VALDIVIA,,Valdivia,Región de Los Ríos,"-39.812843099999995,-73.24694851875219"," 2 SP 96678, GESTIÓN, ESCUELA EL LAUREL, ADQUISICIÓN PAPEL PARA IMPRESORA Orden de Compra generada por invitación a compra ágil: 2280-786-COT24",Junio/2024,199504
Ilustre Municipalidad de El Carmen,,El Carmen,Región del Ñuble,"-36.8971258,-72.0269144",PAPEL MULTIPROPOSITO PARA CENTRO DE FOTOCOPIADO ESCUELA VIRGEN DEL CARMEN REQ 960219-92(402) ,Junio/2024,1660407
MUNICIPALIDAD DE HUALPEN,,Hualpén,Región del Biobío ,"-36.79237955,-73.0995497379248",Papel Fotocopia: 4152-743-COT24,Junio/2024,89540
FONDO NACIONAL DE SALUD,Monjitas 665,Valparaíso,Región de Valparaíso ,"-34.9848391,-71.2385286","COMPRA DE RESMAS DE PAPEL CARTA, USO EDIFICIO CENTENARIO Y SUC. MAIPU_PSA",Junio/2024,1505350
I MUNICIPALIDAD DE SAN PABLO,,San Pablo,Región de los Lagos ,"-33.446576500000006,-70.74205082203748",PAPEL FOTOCOPIA AREA ADMINISTRATIVA DAEM,Junio/2024,331356
I MUNICIPALIDAD DE SAN PEDRO DE LA PAZ,,San Pedro de La Paz,Región del Biobío ,"-36.84142335,-73.10317815295062",SDA 3417 RESMAS DE PAPEL PARA OFICINA INE-CENSO (compra ágil 2785-301-COT24),Junio/2024,437182
I MUNICIPALIDAD DE TALCA,4 Norte	Nº 944,Talca,Región del Maule ,"-35.4257615,-71.66543442233423",RESMAS DE PAPEL TAMAÑO OFICIO Y CARTA - CONVENIO SAR LA FLORIDA Y SAR LAS AMERICAS.,Junio/2024,4526879
I MUNICIPALIDAD DE TALCA,,Talca,Región del Maule ,"-35.4257615,-71.66543442233423","NP 2 TRANSPARENCIA-JURIDICA-ADQ. RESMAS DE PAPEL TAMAÑO OFICIO, DESPACHO A ZOCALO EDIFICIO 1 NORTE 797 TALCA, IMPUTACION A 1 P1 215-22-04-009Orden de Compra generada por invitación a compra ágil: 2291-887-COT24",Junio/2024,119702
I MUNICIPALIDAD DE YUMBEL,OHIGGINS N° 851 YUMBEL,Yumbel,Región del Biobío ,"-37.0978413,-72.561378",Resmas de papel para Liceo Municipal de Rio Claro,Junio/2024,1176494
ILUSTRE MUNICIPALIDAD DE PUTRE,,Putre,Región de Arica y Parinacota,"-18.196589699999997,-69.55992321144892",Serv. Impresion Gigantografia y Pulseras de papel para el dia 19/06 compra ágil: 4022-278-COT24,Junio/2024,240975
